algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,per,noise_std,semantic_weight,P_index,B_index,utility_reward,lyapunov_reward,scaled_reward,q_prev_before,reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id,scenario,safety_overridden,active_set_size,q_next_est
raucb_plus,0,17,800.0,512,50,1.777941475022234,0.640822571910167,14.885303517039182,3.031751946332717,0,0.19183673469387758,6.569566950976968,0.7969620818172128,0.05,0.4943939469934586,5,25,1.7587578015528462,1391.6316157580104,1.739539519697513,13.768664698304663,1.7587578015528462,0.016199999663513154,0.0,3.2175510204081634,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,14.672777488972553
raucb_plus,0,18,800.0,512,50,1.3255766978939794,0.7297784357422229,15.820185572141138,3.1912412469687323,0,0.19183673469387758,4.6679316526009735,0.8637474239461093,0.05,0.3857248113224206,5,30,1.3063930244245916,1031.1984163968473,1.2889980204960592,14.885303517039182,1.3063930244245916,0.01580000389367342,0.0,3.5848979591836736,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,16.029808799337182
raucb_plus,0,19,800.0,512,50,1.1584674195810416,0.7653306756943584,17.411023850054328,3.487635673242877,0,0.19183673469387758,4.656398590914387,0.8640830209452435,0.05,0.7893174211059057,5,35,1.1392837461116538,886.259640117471,1.1078245501468387,15.820185572141138,1.1392837461116538,0.01630000042496249,0.0,3.9522448979591838,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,17.193964762104276
raucb_plus,0,20,800.0,512,50,2.4097516991849828,0.5272245399974465,17.44629236567506,3.701420877935581,0,0.2836734693877551,4.126390177696228,0.8787075666624108,0.05,0.747894568512887,10,0,2.3813843522462075,1904.4934208303373,2.3806167760379218,17.411023850054328,2.3813843522462075,0.01630000042496249,0.0,1.3716326530612244,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,17.44591175716221
raucb_plus,0,21,800.0,512,50,2.3355676237381027,0.5431750187304113,17.704148194390118,3.791871660198703,0,0.2836734693877551,5.193325044701408,0.8476298062990494,0.05,0.5489341060503918,10,5,2.3072002767993274,1841.2615932635056,2.301576991579382,17.44629236567506,2.3072002767993274,0.03330000618007034,0.0,1.7389795918367348,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,17.683647407843484
raucb_plus,0,22,800.0,512,50,2.3273894697423128,0.5397205233613138,17.72250423652157,3.8714893392250973,0,0.3755102040816327,3.258365408091701,0.8995342056021898,0.05,0.35351160144896365,15,0,2.2898384493341495,1831.545781377162,2.2894322267214524,17.704148194390118,2.2898384493341495,0.017600003047846258,0.0,1.3624489795918366,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,17.660379875965358
raucb_plus,0,23,800.0,512,50,2.1680912243515253,0.5828142712721218,17.92866234359937,3.8823037357561585,0,0.3755102040816327,2.7817863675332872,0.909487238609362,0.05,0.38191077955709557,15,5,2.130540203943362,1700.77852522861,2.1259731565357627,17.72250423652157,2.130540203943362,0.047900000936351717,0.0,1.729795918367347,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,17.953234023488694
raucb_plus,0,24,800.0,512,50,2.2650258396839758,0.5542883261033834,17.997400139808107,3.7160763851704615,0,0.46734693877551026,2.0,0.9238138768389723,0.05,0.5432363412639122,20,0,2.2182911458064245,1773.40053990667,2.2167506748833374,17.92866234359937,2.2182911458064245,0.02130000211764127,0.0,1.3532653061224489,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,17.966154925700103
raucb_plus,0,25,800.0,512,50,2.3418910793608982,0.5454012936550455,17.904614547937367,3.2443229395073296,0,0.8346938775510204,2.806139358515022,0.9090021560917425,0.05,0.8185140340201557,40,0,2.258421691605796,1808.4072527087435,2.2605090658859295,17.997400139808107,2.258421691605796,0.018600003386382014,0.0,1.3165306122448979,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,17.988726670420352
raucb_plus,0,26,800.0,512,50,2.253180904688815,0.5437518379581454,17.92886564277205,2.748840770562395,0,0.5591836734693878,2.941870092582156,0.9062530632635758,0.05,0.3713901921401632,25,0,2.197262537341876,1757.3758233681206,2.1967197792101505,17.904614547937367,2.197262537341876,0.017599995771888644,0.0,1.3440816326530611,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,17.908471133592183
raucb_plus,0,27,800.0,512,50,2.3003653547312823,0.5535313910785961,17.98957633027007,2.256829056322029,0,0.6510204081632653,2.0742533282604536,0.9225523184643267,0.05,0.619949330611199,30,0,2.235263313914956,1787.1221773727325,2.2339027217159155,17.92886564277205,2.235263313914956,0.018500002624932677,0.0,1.3348979591836734,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,17.88946345921753
raucb_plus,0,28,800.0,512,50,2.369198652936297,0.5420672772840012,17.90448484186822,1.9180402893716701,0,0.7428571428571429,3.0766516011044116,0.903445462140002,0.05,0.5518021796650504,35,0,2.2949129386505827,1837.4611107461274,2.296826388432659,17.98957633027007,2.2949129386505827,0.017700003809295595,0.0,1.3257142857142856,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,default,1,121,17.996967092645882
