algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,noise_std,P_index,B_index,utility_reward,lyapunov_reward,scaled_reward,q_prev_before,reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id,scenario,safety_overridden,active_set_size,q_next_est
raucb_plus,0,273,800.0,512,50,1.815712415633726,0.6368575168732548,17.976638266685598,0.0,0,1.0,3.90803215399804,0.05,49,5,1.715712415633726,1373.627530283094,1.7170344128538675,18.03527876732644,1.715712415633726,0.020699997548945248,0.0,1.6673469387755102,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,17.952931855708716
raucb_plus,0,274,800.0,512,50,1.883791730169125,0.623241653966175,18.040506806214285,0.0,0,0.7428571428571429,2.859807194806532,0.05,35,5,1.8095060158834106,1446.4566710749998,1.8080708388437499,17.976638266685598,1.8095060158834106,0.020899999071843922,0.0,1.693061224489796,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,17.99742303605925
raucb_plus,0,275,800.0,512,50,1.5586682279420465,0.6882663544115907,18.035411086114145,0.0,0,0.7428571428571429,2.523593974309481,0.05,35,0,1.4843825136563322,1187.597940298215,1.4844974253727687,18.040506806214285,1.4843825136563322,0.019699997210409492,0.0,1.3257142857142856,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,17.97495328098225
raucb_plus,0,276,800.0,512,50,1.6232175958797557,0.6753564808240489,17.884666755383165,0.0,0,0.8346938775510204,3.109670931100876,0.05,40,0,1.5397482081246536,1234.5173024733574,1.5431466280916968,18.035411086114145,1.5397482081246536,0.02319999475730583,0.0,1.3165306122448979,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,17.97210753114155
raucb_plus,0,277,800.0,512,50,1.407226746149832,0.7185546507700336,17.999123253201965,0.0,0,0.2836734693877551,2.343053646992102,0.05,10,0,1.3788593992110565,1101.0405030473678,1.3763006288092097,17.884666755383165,1.3788593992110565,0.021200001356191933,0.0,1.3716326530612244,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,17.974400362673208
raucb_plus,0,278,800.0,512,50,1.4218769861651634,0.7156246027669673,17.953775765190645,0.0,0,0.8346938775510204,2.4963659451142526,0.05,40,0,1.3384075984100614,1071.542293753988,1.3394278671924849,17.999123253201965,1.3384075984100614,0.020699997548945248,0.0,1.3165306122448979,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,17.954656686462226
raucb_plus,0,279,800.0,512,50,1.4545022481713081,0.7090995503657384,17.859944949805808,0.0,0,0.7428571428571429,2.8361596596740197,0.05,35,0,1.3802165338855938,1105.8578445277594,1.3823223056596994,17.953775765190645,1.3802165338855938,0.020199993741698563,0.0,1.3257142857142856,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,17.921970356001463
raucb_plus,0,280,800.0,512,50,1.437721495282689,0.7124557009434621,18.007266957992552,0.15904413302851494,0,0.19183673469387758,3.8263897562534543,0.05,5,0,1.4185378218133013,1132.199094494531,1.4152488681181636,17.859944949805808,1.4185378218133013,0.02010000025620684,0.0,1.3808163265306121,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,17.991934998783012
raucb_plus,0,281,800.0,512,50,1.6636299627809281,0.6672740074438144,17.985942085257843,0.0,0,0.8346938775510204,4.034205210229518,0.05,40,5,1.580160575025826,1264.51246269684,1.58064057837105,18.007266957992552,1.580160575025826,0.020200001017656177,0.0,1.6838775510204083,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,17.99170741454672
raucb_plus,0,282,800.0,512,50,1.4472209496029367,0.7105558100794127,18.007380876194542,0.0,0,0.3755102040816327,3.010165768713761,0.05,15,0,1.4096699291947734,1127.3503465036533,1.4091879331295667,17.985942085257843,1.4096699291947734,0.024299995857290924,0.0,1.3624489795918366,task3_raucb_plus_V800.0_w512_g50_T10000_s0,exp_0,bandit_dynamic_10000,1,121,17.996581432532782
