algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,noise_std,P_index,B_index,reward,q_prev_before,utility_reward,lyapunov_reward,scaled_reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id
safe_linucb,2,32,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.953917122036965,0.0,4.953917122036965,3963.133697629572,4.953917122036965,1.0051999997813255,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,33,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.936121543615375,0.0,4.936121543615375,3948.8972348923,4.936121543615375,1.0027000007539755,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,34,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.910528590618765,0.0,4.910528590618765,3928.4228724950117,4.910528590618765,1.0062000001198612,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,35,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.914201907262519,0.0,4.914201907262519,3931.361525810015,4.914201907262519,1.0158000004594214,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,36,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.891511975113843,0.0,4.891511975113843,3913.2095800910747,4.891511975113843,1.0343000012653647,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,37,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.943423010560576,0.0,4.943423010560576,3954.7384084484606,4.943423010560576,1.0530999988986878,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,38,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.8435142019109625,0.0,4.8435142019109625,3874.81136152877,4.8435142019109625,1.0581999995338265,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,39,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.878907058691085,0.0,4.878907058691085,3903.125646952868,4.878907058691085,1.0595000003377208,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,40,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.912146942654937,0.0,4.912146942654937,3929.71755412395,4.912146942654937,1.055400000041118,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,41,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.990071042922467,0.0,4.990071042922467,3992.0568343379737,4.990071042922467,1.0581000005913666,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,42,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.861776794213981,0.0,4.861776794213981,3889.4214353711845,4.861776794213981,1.0547000001679407,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,43,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.846046977043153,0.0,4.846046977043153,3876.837581634523,4.846046977043153,1.0559999991528457,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,44,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.871835640074798,0.0,4.871835640074798,3897.4685120598388,4.871835640074798,1.081099999282742,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,45,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.948463610056908,0.0,4.948463610056908,3958.7708880455266,4.948463610056908,1.1386000005586538,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,46,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.888249724655409,0.0,4.888249724655409,3910.5997797243267,4.888249724655409,1.0673000015231082,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,47,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.966217350961848,0.0,4.966217350961848,3972.9738807694785,4.966217350961848,1.0538000005908543,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,48,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.806373524119699,0.0,4.806373524119699,3845.0988192957593,4.806373524119699,1.0782000008475734,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,49,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.9564261570950245,0.0,4.9564261570950245,3965.14092567602,4.9564261570950245,1.0984999989887,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,50,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.951743311996477,0.0,4.951743311996477,3961.394649597182,4.951743311996477,1.0891999991144985,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,51,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.829066715509926,0.0,4.829066715509926,3863.253372407941,4.829066715509926,1.1290999991615536,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,52,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.907679094326798,0.0,4.907679094326798,3926.1432754614384,4.907679094326798,1.0820000006788177,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,53,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.960787881759727,0.0,4.960787881759727,3968.6303054077816,4.960787881759727,1.0912000016105594,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,54,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.904395952115476,0.0,4.904395952115476,3923.516761692381,4.904395952115476,1.1086000013165176,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,55,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.949985071107589,0.0,4.949985071107589,3959.9880568860713,4.949985071107589,1.0950999985652743,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,56,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,5.018744345665858,0.0,5.018744345665858,4014.995476532686,5.018744345665858,1.0985999997501494,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,57,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.913696612729617,0.0,4.913696612729617,3930.9572901836937,4.913696612729617,1.2045000003126916,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,58,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.885980884302853,0.0,4.885980884302853,3908.7847074422825,4.885980884302853,1.0848000001715263,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,59,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.8614473920090235,0.0,4.8614473920090235,3889.1579136072187,4.8614473920090235,1.2124999993829988,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,60,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.932403230077225,0.0,4.932403230077225,3945.9225840617796,4.932403230077225,1.017399999909685,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,61,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.890163496682114,0.0,4.890163496682114,3912.1307973456915,4.890163496682114,1.0129000002052635,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,62,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.891062681460297,0.0,4.891062681460297,3912.8501451682373,4.891062681460297,0.9950999992724974,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,63,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.894737011079249,0.0,4.894737011079249,3915.789608863399,4.894737011079249,0.9585999996488681,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,64,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.932493482629275,0.0,4.932493482629275,3945.99478610342,4.932493482629275,0.9716000004118541,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
safe_linucb,2,65,800.0,300,10,5.0,0.0,0.0,0.0,0,1.0,10.0,0.05,9,9,4.8466830193917545,0.0,4.8466830193917545,3877.3464155134034,4.8466830193917545,0.9616999996069353,4.99,4.9,task3_safe_linucb_V800.0_w300_g10_T10000_s2,exp_2
