algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,noise_std,P_index,B_index,utility_reward,lyapunov_reward,scaled_reward,q_prev_before,reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id
raucb_plus,1,42,800.0,300,10,1.8,0.0,0.0,0.0,0,0.5,10.0,0.05,4,1,1.7463978160136386,1397.118252810911,1.7463978160136386,0.0,1.7463978160136386,0.6943999997020001,4.99,1.75,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,43,800.0,300,10,2.2,0.0,0.0,0.0,0,0.5,10.0,0.05,4,2,2.1027624188469614,1682.209935077569,2.1027624188469614,0.0,2.1027624188469614,0.6511999999929685,4.99,2.1500000000000004,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,44,800.0,300,10,2.6,0.0,0.0,0.0,0,0.5,10.0,0.05,4,3,2.5450865016073894,2036.0692012859115,2.5450865016073894,0.0,2.5450865016073894,0.6673999996564817,4.99,2.5500000000000003,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,45,800.0,300,10,3.0,0.0,0.0,0.0,0,0.5,10.0,0.05,4,4,2.954774151373473,2363.8193210987783,2.954774151373473,0.0,2.954774151373473,0.6994999985181494,4.99,2.95,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,46,800.0,300,10,3.4,0.0,0.0,0.0,0,0.5,10.0,0.05,4,5,3.3517793118527743,2681.4234494822194,3.3517793118527743,0.0,3.3517793118527743,0.6843999999546213,4.99,3.35,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,47,800.0,300,10,3.8000000000000003,0.0,0.0,0.0,0,0.5,10.0,0.05,4,6,3.724685417084285,2979.748333667428,3.7246854170842854,0.0,3.724685417084285,0.7105999993655132,4.99,3.7500000000000004,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,48,800.0,300,10,4.2,0.0,0.0,0.0,0,0.5,10.0,0.05,4,7,4.179687403589291,3343.7499228714332,4.179687403589291,0.0,4.179687403589291,0.7377999991149409,4.99,4.15,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,49,800.0,300,10,4.6,0.0,0.0,0.0,0,0.5,10.0,0.05,4,8,4.594558347714116,3675.646678171293,4.594558347714116,0.0,4.594558347714116,0.7700000005570473,4.99,4.55,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,50,800.0,300,10,5.0,0.0,0.0,0.0,0,0.5,10.0,0.05,4,9,4.966042415228328,3972.8339321826625,4.966042415228328,0.0,4.966042415228328,0.7560999983979855,4.99,4.95,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,51,800.0,300,10,1.4,0.0,0.0,0.0,0,0.6,10.0,0.05,5,0,1.2990884886304845,1039.2707909043877,1.2990884886304845,0.0,1.2990884886304845,0.7681000006414251,4.99,1.3399999999999999,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,52,800.0,300,10,1.8,0.0,0.0,0.0,0,0.6,10.0,0.05,5,1,1.776582614189272,1421.2660913514176,1.776582614189272,0.0,1.776582614189272,0.7814000000507804,4.99,1.74,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,53,800.0,300,10,2.2,0.0,0.0,0.0,0,0.6,10.0,0.05,5,2,2.1149279990766474,1691.9423992613179,2.1149279990766474,0.0,2.1149279990766474,0.8220999989134725,4.99,2.14,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,54,800.0,300,10,2.6,0.0,0.0,0.0,0,0.6,10.0,0.05,5,3,2.5839580309143995,2067.16642473152,2.5839580309144,0.0,2.5839580309143995,0.8202000008168397,4.99,2.54,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,55,800.0,300,10,3.0,0.0,0.0,0.0,0,0.6,10.0,0.05,5,4,2.886410629156128,2309.1285033249023,2.886410629156128,0.0,2.886410629156128,0.8407000004808651,4.99,2.94,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,56,800.0,300,10,3.4,0.0,0.0,0.0,0,0.6,10.0,0.05,5,5,3.385723360156439,2708.578688125151,3.385723360156439,0.0,3.385723360156439,0.8519999992131488,4.99,3.34,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,57,800.0,300,10,3.8000000000000003,0.0,0.0,0.0,0,0.6,10.0,0.05,5,6,3.738996827269226,2991.197461815381,3.738996827269226,0.0,3.738996827269226,0.988899999356363,4.99,3.74,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,58,800.0,300,10,4.2,0.0,0.0,0.0,0,0.6,10.0,0.05,5,7,4.07756255548328,3262.050044386624,4.07756255548328,0.0,4.07756255548328,1.013200000670622,4.99,4.140000000000001,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,59,800.0,300,10,4.6,0.0,0.0,0.0,0,0.6,10.0,0.05,5,8,4.524305026401658,3619.4440211213264,4.524305026401658,0.0,4.524305026401658,1.0371999997005332,4.99,4.54,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,60,800.0,300,10,5.0,0.0,0.0,0.0,0,0.6,10.0,0.05,5,9,4.942705113938578,3954.164091150862,4.942705113938578,0.0,4.942705113938578,0.9599000004527625,4.99,4.94,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,61,800.0,300,10,1.4,0.0,0.0,0.0,0,0.7000000000000001,10.0,0.05,6,0,1.3436395669582226,1074.911653566578,1.3436395669582226,0.0,1.3436395669582226,0.9029000011651078,4.99,1.3299999999999998,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,62,800.0,300,10,1.8,0.0,0.0,0.0,0,0.7000000000000001,10.0,0.05,6,1,1.680890593752951,1344.7124750023609,1.680890593752951,0.0,1.680890593752951,0.8871999998518731,4.99,1.73,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,63,800.0,300,10,2.2,0.0,0.0,0.0,0,0.7000000000000001,10.0,0.05,6,2,2.074631347641741,1659.7050781133926,2.074631347641741,0.0,2.074631347641741,0.9040999993885634,4.99,2.1300000000000003,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,64,800.0,300,10,2.6,0.0,0.0,0.0,0,0.7000000000000001,10.0,0.05,6,3,2.5399792266423544,2031.9833813138835,2.5399792266423544,0.0,2.5399792266423544,0.9224000004905974,4.99,2.5300000000000002,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
raucb_plus,1,65,800.0,300,10,3.0,0.0,0.0,0.0,0,0.7000000000000001,10.0,0.05,6,4,2.90666251915601,2325.330015324808,2.9066625191560096,0.0,2.90666251915601,0.9425999996892642,4.99,2.93,task3_raucb_plus_V800.0_w300_g10_T10000_s1,exp_1
