algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,P_index,B_index,utility_reward,lyapunov_reward,scaled_reward,q_prev_before,reward,decision_latency_ms,run_tag,experiment_id
raucb_plus,0,5174,800.0,300,50,1.470327952423478,0.7059344095153044,0.0,0.0,0,0.45999999999999996,13.908261431776284,2,0,1.424327952423478,1139.4623619387824,1.424327952423478,0.0,1.424327952423478,1.746499998262152,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5175,800.0,300,50,1.3580581427385952,0.728388371452281,0.0,0.0,0,0.45999999999999996,13.29748717635228,2,0,1.3120581427385951,1049.6465141908761,1.3120581427385951,0.0,1.3120581427385951,1.737299986416474,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5176,800.0,300,50,1.20890002190451,0.758219995619098,0.0,0.00847565090821284,0,0.45999999999999996,12.84954844457388,2,0,1.16290002190451,930.320017523608,1.16290002190451,0.0,1.16290002190451,1.734499994199723,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5177,800.0,300,50,1.4706903435968024,0.7058619312806396,0.0,0.0,0,0.45999999999999996,11.054819145341163,2,0,1.4246903435968024,1139.7522748774418,1.4246903435968021,0.0,1.4246903435968024,1.7334999865852296,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5178,800.0,300,50,1.427653348498996,0.7144693303002008,0.0,0.016233851983601832,0,0.45999999999999996,10.388128406426771,2,0,1.381653348498996,1105.3226787991966,1.381653348498996,0.0,1.381653348498996,1.7681999888736755,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5179,800.0,300,50,1.5173728465466865,0.6965254306906628,0.0,0.0,0,0.45999999999999996,11.400117713348209,2,0,1.4713728465466864,1177.098277237349,1.4713728465466864,0.0,1.4713728465466864,1.7311999981757253,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5180,800.0,300,50,1.3205069484967376,0.7358986103006525,0.0,0.0,0,0.45999999999999996,11.879797907586465,2,0,1.2745069484967375,1019.60555879739,1.2745069484967375,0.0,1.2745069484967375,1.736600010190159,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5181,800.0,300,50,1.3062129219260865,0.7387574156147827,0.0,0.0,0,0.45999999999999996,10.839881753326392,2,0,1.2602129219260865,1008.1703375408691,1.2602129219260865,0.0,1.2602129219260865,1.7355000018142164,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5182,800.0,300,50,1.3278547912618748,0.734429041747625,0.0,0.0,0,0.45999999999999996,8.692798202276762,2,0,1.2818547912618747,1025.4838330095,1.281854791261875,0.0,1.2818547912618747,1.7336999881081283,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5183,800.0,300,50,1.5360289553105082,0.6927942089378984,0.0,0.0,0,0.45999999999999996,6.737598269756482,2,0,1.4900289553105082,1192.0231642484066,1.4900289553105082,0.0,1.4900289553105082,1.7433999746572226,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5184,800.0,300,50,1.517225097727495,0.6965549804545009,0.0,0.0,0,0.45999999999999996,8.567794498539829,2,0,1.471225097727495,1176.980078181996,1.471225097727495,0.0,1.471225097727495,1.7346999957226217,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5185,800.0,300,50,1.3976391580178829,0.7204721683964234,0.0,0.0,0,0.45999999999999996,8.346629228392612,2,0,1.3516391580178828,1081.3113264143062,1.3516391580178828,0.0,1.3516391580178828,1.7594000091776252,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5186,800.0,300,50,1.4686407247811983,0.7062718550437603,0.0,0.0,0,0.45999999999999996,7.119340446140461,2,0,1.4226407247811983,1138.1125798249586,1.4226407247811983,0.0,1.4226407247811983,1.7368000117130578,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5187,800.0,300,50,1.5331524240379457,0.6933695151924109,0.0,0.0,0,0.45999999999999996,6.950074390695557,2,0,1.4871524240379457,1189.7219392303566,1.4871524240379457,0.0,1.4871524240379457,1.728399976855144,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5188,800.0,300,50,1.490906789420859,0.7018186421158281,0.0,0.0,0,0.45999999999999996,7.426506992064636,2,0,1.444906789420859,1155.925431536687,1.4449067894208587,0.0,1.444906789420859,1.7302000196650624,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5189,800.0,300,50,1.265592492078494,0.7468815015843011,0.0,0.0,0,0.45999999999999996,9.147131875012043,2,0,1.219592492078494,975.6739936627952,1.219592492078494,0.0,1.219592492078494,1.7282000044360757,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5190,800.0,300,50,1.3059468096608975,0.7388106380678205,0.0,0.0,0,0.45999999999999996,9.412302434160704,2,0,1.2599468096608974,1007.957447728718,1.2599468096608974,0.0,1.2599468096608974,1.7312999989371747,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5191,800.0,300,50,1.3687148865961236,0.7262570226807753,0.0,0.0,0,0.45999999999999996,10.968619566823444,2,0,1.3227148865961236,1058.1719092768988,1.3227148865961234,0.0,1.3227148865961236,1.7353000002913177,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5192,800.0,300,50,1.24721968963033,0.750556062073934,0.0,0.0,0,0.45999999999999996,11.234351145890006,2,0,1.20121968963033,960.975751704264,1.20121968963033,0.0,1.20121968963033,1.733599987346679,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5193,800.0,300,50,1.5208285027171058,0.6958342994565788,0.0,0.0,0,0.45999999999999996,10.20682441739919,2,0,1.4748285027171057,1179.8628021736845,1.4748285027171055,0.0,1.4748285027171057,1.7410000145900995,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5194,800.0,300,50,1.4243012705511853,0.7151397458897629,0.0,0.0,0,0.45999999999999996,10.117069493757548,2,0,1.3783012705511852,1102.641016440948,1.378301270551185,0.0,1.3783012705511852,1.7530999903101474,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5195,800.0,300,50,1.2823757303325007,0.7435248539334999,0.0,0.0,0,0.45999999999999996,10.1366064218374,2,0,1.2363757303325007,989.1005842660005,1.2363757303325007,0.0,1.2363757303325007,1.7425000260118395,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5196,800.0,300,50,1.371110053977618,0.7257779892044764,0.0,0.0,0,0.45999999999999996,9.95531792928626,2,0,1.325110053977618,1060.0880431820945,1.3251100539776182,0.0,1.325110053977618,1.732999982777983,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5197,800.0,300,50,1.4528477142603171,0.7094304571479366,0.0,0.0,0,0.45999999999999996,8.17802190232207,2,0,1.406847714260317,1125.4781714082537,1.406847714260317,0.0,1.406847714260317,1.7521999834571034,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5198,800.0,300,50,1.3499207757983194,0.7300158448403361,0.0,0.020383406470709853,0,0.45999999999999996,7.9053972915551345,2,0,1.3039207757983193,1043.1366206386554,1.303920775798319,0.0,1.3039207757983193,1.740300009259954,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5199,800.0,300,50,1.4522290518665166,0.7095541896266967,0.0,0.0,0,0.45999999999999996,8.222812449245044,2,0,1.4062290518665166,1124.9832414932132,1.4062290518665166,0.0,1.4062290518665166,1.73639997956343,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5200,800.0,300,50,1.3717909336438285,0.7256418132712342,0.0,0.0,0,0.45999999999999996,9.081036507694403,2,0,1.3257909336438285,1060.6327469150629,1.3257909336438285,0.0,1.3257909336438285,1.8028000195045024,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5201,800.0,300,50,1.4510049300963883,0.7097990139807223,0.0,0.0,0,0.45999999999999996,10.153122417724722,2,0,1.4050049300963883,1124.0039440771106,1.4050049300963883,0.0,1.4050049300963883,1.8804999999701977,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5202,800.0,300,50,1.428984906617022,0.7142030186765955,0.0,0.0,0,0.45999999999999996,10.017027263054956,2,0,1.382984906617022,1106.3879252936176,1.3829849066170221,0.0,1.382984906617022,1.7484999843873084,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5203,800.0,300,50,1.415916019111271,0.7168167961777459,0.0,0.0,0,0.45999999999999996,8.445540889939261,2,0,1.369916019111271,1095.9328152890168,1.3699160191112711,0.0,1.369916019111271,1.7297999875154346,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5204,800.0,300,50,1.329028814998053,0.7341942370003893,0.0,0.0,0,0.45999999999999996,9.059447344062812,2,0,1.2830288149980529,1026.4230519984424,1.2830288149980529,0.0,1.2830288149980529,1.7377999902237207,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5205,800.0,300,50,1.420145912676069,0.7159708174647863,0.0,0.0,0,0.45999999999999996,9.914078211317053,2,0,1.374145912676069,1099.316730140855,1.374145912676069,0.0,1.374145912676069,1.7328000103589147,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5206,800.0,300,50,1.402568243692603,0.7194863512614794,0.0,0.0,0,0.45999999999999996,9.970917916331448,2,0,1.356568243692603,1085.2545949540824,1.356568243692603,0.0,1.356568243692603,1.7238000000361353,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5207,800.0,300,50,1.589550167857595,0.682089966428481,0.0,0.0,0,0.45999999999999996,9.055563880952139,2,0,1.543550167857595,1234.840134286076,1.543550167857595,0.0,1.543550167857595,1.7197999986819923,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5208,800.0,300,50,1.3096602267135702,0.7380679546572859,0.0,0.038192112594781835,0,0.45999999999999996,8.954800365605768,2,0,1.2636602267135701,1010.9281813708561,1.2636602267135701,0.0,1.2636602267135701,1.7250999808311462,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5209,800.0,300,50,1.6020567008222937,0.6795886598355413,0.0,0.0,0,0.45999999999999996,8.951188305959322,2,0,1.5560567008222936,1244.8453606578348,1.5560567008222934,0.0,1.5560567008222936,1.7152999935206026,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5210,800.0,300,50,1.3809137818820094,0.7238172436235981,0.0,0.0,0,0.45999999999999996,8.850235616746694,2,0,1.3349137818820094,1067.9310255056075,1.3349137818820094,0.0,1.3349137818820094,1.725899986922741,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5211,800.0,300,50,1.4122279833702291,0.7175544033259541,0.0,0.039209279312903855,0,0.45999999999999996,9.791680169806183,2,0,1.366227983370229,1092.9823866961833,1.366227983370229,0.0,1.366227983370229,1.7278000013902783,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5212,800.0,300,50,1.3357755432623069,0.7328448913475386,0.0,0.0,0,0.45999999999999996,7.327433814591908,2,0,1.2897755432623068,1031.8204346098455,1.2897755432623068,0.0,1.2897755432623068,1.7165000026579946,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5213,800.0,300,50,1.514781992548541,0.6970436014902918,0.0,0.0,0,0.45999999999999996,6.945060718947396,2,0,1.468781992548541,1175.0255940388329,1.468781992548541,0.0,1.468781992548541,1.7223000177182257,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5214,800.0,300,50,1.625425002379344,0.6749149995241313,0.0,0.0,0,0.45999999999999996,7.160488722806272,2,0,1.579425002379344,1263.540001903475,1.579425002379344,0.0,1.579425002379344,1.7269999952986836,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5215,800.0,300,50,1.3295125546447624,0.7340974890710475,0.0,0.0,0,0.45999999999999996,6.9454160781028484,2,0,1.2835125546447623,1026.8100437158098,1.2835125546447623,0.0,1.2835125546447623,1.7272000259254128,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
raucb_plus,0,5216,800.0,300,50,1.2814442859825226,0.7437111428034955,0.0,0.0,0,0.45999999999999996,6.494678778676333,2,0,1.2354442859825225,988.355428786018,1.2354442859825225,0.0,1.2354442859825225,1.8410999909974635,task3_raucb_plus_V800.0_w300_g50_T10000_s0,exp_0
